Game Name,Hours Played,Platforms
Sherlock Holmes Crimes and Punishments,0.0,epic
Sherlock Holmes: The Devil's Daughter,0.0,steam
Shogun Showdown,0.0,gog
Shop Titans,0.0,epic
Sid Meier's Civilization IV®: The Complete Edition,0.0,gog
Sid Meier's Civilization VI,0.1,epic
Sid Meier's Civilization® III Complete,0.0,gog
Siege of Avalon: Anthology,0.0,gog
Sifu,0.8,epic
Sir Whoopass™: Immortal Death,0.0,gog
SkyDrift Infinity,0.0,epic
Snakebird Complete,0.0,epic
Sniper Elite 4,0.0,steam
Sniper Ghost Warrior Contracts,0.0,epic
Solitairica,0.0,epic
Songs of Silence,0.0,epic
Sonic Mania,0.0,epic
Sorry We're Closed,0.0,epic
Soulstice,0.1,epic
Space Hulk: Deathwing - Enhanced Edition,0.0,gog
Speed Brawl,0.0,epic
Spelunky,0.0,gog
Star Stuff,0.0,epic
Star Wars Squadrons,0.0,"epic, xboxone"
Star Wars: Battlefront,0.0,steam
Stardew Valley,2.3,"steam, xboxone"
SteamWorld Quest: Hand of Gilgamech,0.0,gog
Steins;Gate,0.0,steam
Stranded Deep,1.1,"epic, xboxone"
Strange Horticulture,0.0,epic
Stray Gods: The Roleplaying Musical,0.0,gog
Stubbs the Zombie in Rebel Without a Pulse,0.0,"epic, steam"
Styx: Master of Shadows,0.0,gog
Suicide Squad: Kill the Justice League,0.0,epic
Summer's Gone - Season 1,0.0,gog
Summoner,0.2,steam
Super Meat Boy,0.0,epic
Super Meat Boy Forever,0.0,epic
Supermarket Together,0.0,steam
Syberia: The World Before,0.0,"gog, steam"
THIEF: Definitive Edition,0.0,gog
TOEM,0.0,"gog, xboxone"
Tales from the Borderlands,0.0,epic
Tales of Arise,0.0,"steam, xboxone"
Tannenberg,0.0,epic
Tattoo Tycoon,0.0,epic
Teenage Mutant Ninja Turtles: Shredder's Revenge,0.6,"epic, xboxone"
TerraTech,0.0,epic
The Battle of Polytopia,0.0,epic
The Bridge,0.0,epic
The Callisto Protocol,0.0,epic
The Coma: Recut,0.0,gog
The Darkside Detective,0.0,epic
The Darkside Detective A Fumble in the Dark,0.0,epic
The Deed: Dynasty,0.0,steam
The Elder Scrolls III: Morrowind GOTY Edition,0.0,"gog, xboxone"
The Elder Scrolls Online,2.6,"epic, steam, xboxone"
The Elder Scrolls V: Skyrim - Special Edition,199.8,"steam, xboxone"
The Eternal Cylinder,0.0,epic
The Evil Within 2,0.0,"gog, xboxone"
The Gunk,0.0,"gog, xboxone"
The Jackbox Party Pack 4,0.0,epic
The Last Show of Mr. Chardish,0.0,epic
The Last Spell,0.0,gog
The Last Stand: Aftermath,0.0,epic
The Long Dark,0.1,"epic, xboxone"
The Lord of The Rings Return to Moria,0.0,epic
The Outer Worlds: Spacer's Choice Edition,0.0,epic
The Sims™ 4,0.0,"epic, steam, xboxone"
The Smurfs 2 - The Prisoner of the Green Stone,0.0,gog
The Witcher 2: Assassins of Kings Enhanced Edition,0.0,gog
The Wolf Among Us,0.0,steam
Them's Fightin' Herds,0.0,epic
Thief™ 2: The Metal Age,0.0,gog
Thief™ 3: Deadly Shadows,0.0,gog
Thief™ Gold,0.0,gog
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,0.0,epic
Tiny Tina's Wonderlands,0.0,epic
Titanfall® 2,0.0,"steam, xboxone"
To The Rescue,0.0,epic
Tomb Raider GAME OF THE YEAR EDITION,4.8,"epic, gog, steam"
Tomb Raider I-III Remastered Starring Lara Croft,0.0,gog
Tomb Raider: Anniversary,0.0,gog
Tomb Raider: Chronicles,0.0,gog
Tomb Raider: The Angel of Darkness,0.0,gog
Tomb Raider: The Last Revelation,0.0,gog
Tomb Raider: Underworld,0.0,gog
Total War THREE KINGDOMS,0.0,"epic, xboxone"
Total War: ATTILA,0.0,epic
Total War: PHARAOH DYNASTIES,0.0,epic
Total War: ROME II,0.0,epic
Total War: SHOGUN 2,0.0,steam
Total War: WARHAMMER,0.0,epic
Total War: WARHAMMER II,0.0,epic
Total War: WARHAMMER III,0.0,"epic, xboxone"
Totally Accurate Battlegrounds,0.0,steam
Town of Salem 2,0.1,epic
Trackmania,0.0,epic
Treasure of Nadia,0.0,gog
Trek to Yomi,0.0,"epic, xboxone"
Tropico 5,0.0,epic
Troublemaker,0.0,epic
Tunche,0.0,epic
Turmoil,0.0,epic
Turnip Boy Robs a Bank,0.0,"epic, xboxone"
Two Point Hospital,0.0,epic
Tyranny - Gold Edition,0.0,epic
Ultimate Epic Battle Simulator,0.0,steam
Undercroft Warriors,0.0,steam
VALORANT,3.9,epic
Valheim,0.5,"steam, xboxone"
Vampire Survivors,0.0,"epic, xboxone"
Vampire: The Masquerade - Reckoning of New York,0.0,epic
Vampyr,3.3,epic
Venba,0.0,"gog, xboxone"
Verdun,0.0,epic
